train_dataset,test_dataset,view,n_common_features,common_features
MQTT-IoT-IDS2020,MQTTEEB-D_flow_10s,common_cross_dataset_metadata,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_1s,common_cross_dataset_metadata,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTT-IoT-IDS2020,MQTTEEB-D_flow_5s,common_cross_dataset_metadata,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_10s,MQTT-IoT-IDS2020,common_cross_dataset_metadata,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_1s,MQTT-IoT-IDS2020,common_cross_dataset_metadata,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
MQTTEEB-D_flow_5s,MQTT-IoT-IDS2020,common_cross_dataset_metadata,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""bytes_per_second"", ""packets_per_second"", ""burstiness""]"
