dataset,source_name,attempted_url,status,reason,downloaded_files,total_size_mb,timestamp
MQTTEEB-D,Mendeley Data public API,https://data.mendeley.com/public-api/datasets/jfttfjn6tr,success,downloaded or found 7 MQTTEEB-D files,"[""data/raw/MQTTEEB-D/metadata/categorical_processing_metadata.json"", ""data/raw/MQTTEEB-D/metadata/label_encoding_metadata.json"", ""data/raw/MQTTEEB-D/Raw_RealTime_Data/MQTTEEB-D_dataset_loop_1.csv"", ""data/raw/MQTTEEB-D/Raw_RealTime_Data/MQTTEEB-D_dataset_loop_2.csv"", ""data/raw/MQTTEEB-D/Raw_RealTime_Data/MQTTEEB-D_dataset_loop_3.csv"", ""data/raw/MQTTEEB-D/Raw_RealTime_Data/MQTTEEB-D_dataset_loop_4.csv"", ""data/raw/MQTTEEB-D/metadata/README.txt""]",16.2399,2026-06-11T16:21:21.789040+00:00
IoT-23,Stratosphere/CTU public directory,https://mcfp.felk.cvut.cz/publicDatasets/IoT-23-Dataset-v2/,partially_downloaded,downloaded 14 Zeek logs; skipped 13 logs larger than 200 MB,"[""data/raw/IoT-23/CTU-Honeypot-Capture-4-1/2018-10-25-14-06-32-192.168.1.132-zeek-conn.log.labeled"", ""data/raw/IoT-23/CTU-Honeypot-Capture-5-1/2018-09-21-11-40-22-192.168.2.3-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-Honeypot-Capture-7-2/2019-07-03-16-41-09-192.168.1.158-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-Honeypot-Capture-7-3/2019-07-04-16-41-10-192.168.1.158-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-Honeypot-Capture-7-4/2019-07-05-16-41-14-192.168.1.158-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-Honeypot-Capture-7-5/2019-07-06-16-41-17-192.168.1.158-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-Honeypot-Capture-7-6/2019-07-07-16-41-19-192.168.1.158-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-IoT-Malware-Capture-1-1/2018-05-09-17-30-31-192.168.100.103-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-IoT-Malware-Capture-3-1/2018-05-19-20-57-19-192.168.2.5-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-IoT-Malware-Capture-20-1/2018-10-02-13-12-30-192.168.100.103-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-IoT-Malware-Capture-21-1/2018-10-03-15-22-32-192.168.100.113-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-IoT-Malware-Capture-34-1/2018-12-21-15-50-14-192.168.1.195-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-IoT-Malware-Capture-42-1/2019-01-10-14-34-38-192.168.1.197-zeek-conn-log.labeled"", ""data/raw/IoT-23/CTU-IoT-Malware-Capture-44-1/2019-01-10-21-06-26-192.168.1.199-zeek-conn-log.labeled""]",165.3801,2026-06-11T16:22:25.173725+00:00
Gotham2025,Zenodo API,https://zenodo.org/api/records/14502760,failed_network,HTTPError('403 Client Error: Forbidden for url: https://zenodo.org/api/records/14502760'),[],0.0,2026-06-11T16:23:53.660394+00:00
CICIoT2023,UNB/CIC official page and public mirror checks,https://www.unb.ca/cic/datasets/iotdataset-2023.html,skipped_login_required,"official UNB page redirects to CIC download form; CIC official download requires form submission/person details; skipped by auto-only policy; public Hugging Face mirror is reachable but checked mirror is DDoS-only and exposes no label column in Dataset Viewer preview, so it is not used as labelled binary IDS data",[],0.0,2026-06-11T16:23:55.934699+00:00
MQTT-IoT-IDS2020,IEEE DataPort open access page,https://ieee-dataport.org/open-access/mqtt-iot-ids2020-mqtt-internet-things-intrusion-detection-dataset,skipped_login_required,IEEE DataPort page exposes dataset metadata but file download requires DataPort login/authentication; HTML is not counted as data,[],0.0,2026-06-11T16:23:56.100414+00:00
