dataset,view,validation_sample_size,feature_columns,model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,number_of_features,encoded_number_of_features,train_sample_size,test_sample_size,random_seed
IoT-23,full_feature_upper_bound,3000.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",Random Forest,ok,0.9583333333333334,0.9601019652878999,0.9583333333333333,0.9582932531496101,0.9582932531496102,0.9833622222222221,0.9717686172196263,0.5468066000030376,2.3806799998662126e-05,28,48.0,14000.0,3000.0,42.0
IoT-23,full_feature_upper_bound,3000.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",Extra Trees,ok,0.9546666666666667,0.9553952991452992,0.9546666666666667,0.9546485260770975,0.9546485260770975,0.9798453333333333,0.9649889280986451,0.284889500006102,2.1201333336648532e-05,28,48.0,14000.0,3000.0,42.0
IoT-23,broker_side_secure_mqtt_metadata,,,Logistic Regression,skipped_not_applicable,,,,,,,,,,0,,,,
IoT-23,broker_side_secure_mqtt_metadata,,,Random Forest,skipped_not_applicable,,,,,,,,,,0,,,,
IoT-23,broker_side_secure_mqtt_metadata,,,Extra Trees,skipped_not_applicable,,,,,,,,,,0,,,,
IoT-23,strict_encrypted_flow_metadata,3000.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",Logistic Regression,ok,0.96,0.9626723957578976,0.96,0.9599421564739484,0.9599421564739483,0.9769671111111112,0.9675028065800224,0.3235114999988582,3.431566665919187e-06,28,48.0,14000.0,3000.0,42.0
IoT-23,strict_encrypted_flow_metadata,3000.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",Random Forest,ok,0.9583333333333334,0.9601019652878999,0.9583333333333333,0.9582932531496101,0.9582932531496102,0.9833622222222221,0.9717686172196263,0.5421251999941887,2.1849133331367435e-05,28,48.0,14000.0,3000.0,42.0
IoT-23,strict_encrypted_flow_metadata,3000.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",Extra Trees,ok,0.9546666666666667,0.9553952991452992,0.9546666666666667,0.9546485260770975,0.9546485260770975,0.9798453333333333,0.9649889280986451,0.2943929000030039,2.2470399999292566e-05,28,48.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,full_feature_upper_bound,3000.0,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Logistic Regression,ok,0.9956666666666667,0.9956721741352682,0.9956666666666667,0.9956666546295962,0.9956666546295961,0.9999035555555555,0.9999061843896412,0.21607110000331886,1.841666666829648e-06,42,42.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,full_feature_upper_bound,3000.0,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Random Forest,ok,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9999986666666667,0.9999986666662716,0.5295040000055451,2.0821466668470143e-05,42,42.0,14000.0,3000.0,42.0
