stability_combo,model,macro_f1_mean,macro_f1_std,pr_auc_mean,pr_auc_std,n_runs
IoT-23 strict binary,Random Forest,0.9716734504464342,0.0023291285767443486,0.9915800145609264,0.001009699574351391,5
MQTTEEB-D broker binary,HistGradientBoosting,0.6598290048581099,0.0034171234845427547,0.9754621604444512,0.0005463104839923377,5
MQTTEEB-D strict 5s binary,Random Forest,0.8834238094452939,0.0062484286455355385,0.9515666922979731,0.00353966612166336,5
MQTTEEB-D to IoT-23 external validation,Logistic Regression,0.49389076832026707,0.00017005922883497372,0.8694903850097766,0.00011688186801605016,5
