dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,feature_family
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,3,42,ok,0.8881322957198443,0.8854653343791563,0.8989607028002196,0.8867640790601667,0.8890888365704155,0.9234332104478784,0.9525901823240686,0.5568124999990687,7.068579770753283e-06,rate_features_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,3,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.923786179308181,0.9463930639939122,0.175061400004779,7.40428015672156e-05,rate_features_only
MQTTEEB-D_flow_5s,,strict,,,,,,,,0,42,skipped_no_features,,,,,,,,,,tcp_flags_only
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8793774319066148,0.880127186009539,0.8938426543258294,0.8784035409035409,0.8804360090838689,0.9060220409443878,0.9522122441006717,0.06655319999845233,2.917217887740524e-06,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9186504823907757,0.9453167001139806,0.30781610000121873,4.106215953261588e-05,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.9215546317358222,0.9510252569785866,0.16835859999991953,3.473356030727393e-05,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.927798258686956,0.9605402696153202,1.0252221999980975,6.13132294492546e-06,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,14,42,ok,0.8939688715953308,0.8905721990237687,0.9038787355871049,0.8925287472077634,0.8948523092448468,0.9276198133186916,0.9500438252774835,0.15908139999373816,6.388871594939602e-05,all_metadata
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8647859922178989,0.8692176451631248,0.8819240724762727,0.8640624301366395,0.8659147490646631,0.9057200564750177,0.9511939841913677,0.03532039999845438,1.9887159499231044e-06,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8891050583657587,0.8860558916738692,0.899403874813711,0.8876748251748252,0.8900421076977497,0.9188544199545062,0.9458294379900887,0.24857490000431426,2.620642023115303e-05,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8900778210116731,0.8871548505694847,0.9006000470625147,0.8886847796818388,0.8910105530325189,0.9217703349282296,0.951498744632203,0.12131040000531357,2.6819941632251222e-05,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8881322957198443,0.8857355542843721,0.8993372029178759,0.8868126491795305,0.8890952810330465,0.9300180406306376,0.9610432859943889,0.7720482000004267,7.826556420589685e-06,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,9,42,ok,0.8910505836575876,0.8885201182086838,0.9021727194289748,0.8897418218034169,0.8919854135534238,0.9238136324417601,0.9411518389840786,0.16292149999935646,6.258764591238802e-05,all_without_byte_stats
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8793774319066148,0.8797465479651163,0.8934661542081732,0.8783603766599105,0.8804377660999871,0.9048572437053886,0.9510533004742611,0.03886359999887645,1.8386186773441225e-06,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8949416342412452,0.8914346407708065,0.9046984077182524,0.893490306835101,0.8958124306849314,0.9206310298846968,0.948759068575176,0.22494310000911355,2.6633949413671837e-05,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8929961089494164,0.8897130202645309,0.9030590634559573,0.8915674203632318,0.8938920661983794,0.9201937406855438,0.948051918629242,0.12309709998953622,2.6183852135789933e-05,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8959143968871596,0.8923003668840654,0.9055180798494,0.8944521049414523,0.8967724359627397,0.9281237744136795,0.9600208065096445,0.6694313000043621,5.808463041554658e-06,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,10,42,ok,0.8929961089494164,0.8894848645778014,0.9026825633383011,0.8915179051098252,0.8938830312531709,0.9263569691740529,0.9514493909013234,0.1612079999904381,6.400671206502577e-05,all_without_iat
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8706225680933852,0.8736660466490638,0.8868421052631579,0.8698143156263003,0.8717301733260572,0.8965232567260177,0.9472642508199163,0.04482619999907911,1.8881322908421782e-06,all_without_rate
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9191956231861322,0.9458123135951605,0.21886069999891333,2.5989105057511262e-05,all_without_rate
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.9184269354459172,0.9448261618976598,0.11481579999963287,2.1680058366283848e-05,all_without_rate
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8949416342412452,0.8912188828172435,0.9043219076005962,0.8934408292542471,0.895802751856736,0.9287924543101419,0.9606633587627151,0.7696203999948921,6.961867702805079e-06,all_without_rate
