dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features,stability_combo
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.9848845512973101,0.9909659980082515,0.9576666666666667,0.9733394883434624,0.9846193635608048,0.975617791944364,0.991252451895055,1.2214964000013424,0.024461175911679425,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,7,ok,0.9825041656748393,0.9886733308697534,0.9517826716893654,0.969021004041887,0.9821611879028301,0.9739907273254129,0.9907970479080108,1.22367760000634,0.017193263507937186,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,13,ok,0.9826231849559629,0.9887436933023707,0.9521160050226987,0.9692402978547556,0.982285111301295,0.9730377668308703,0.9907237973853078,1.0051130000065314,0.019044763150968997,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,21,ok,0.9850035705784337,0.9895729519633247,0.9593044528156089,0.9736294777368597,0.9847644631537105,0.9820811841978171,0.9931509612519123,0.9677421000087634,0.017486800760151237,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,100,ok,0.9847655320161867,0.9906008115593355,0.9575942238964552,0.9731369842552058,0.9845004819044133,0.9772491065391674,0.9919758143643461,1.0792168000043603,0.020255474886011555,39206.0,8401.0,8402.0,28.0,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",IoT-23 strict binary
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,42,ok,0.5110785766573229,0.6077688829749556,0.669769495098785,0.49398912374425974,0.5537748140140056,0.6738298495946443,0.869661947272835,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,7,ok,0.5107750540091771,0.6070730732837062,0.6687629648547023,0.493588903001446,0.5535672041874697,0.6731710904388272,0.8694119797352513,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,13,ok,0.5110071595636415,0.6077798960594325,0.6697651579038884,0.4939358265225289,0.5536929599411571,0.673644228303158,0.8695631608492863,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,21,ok,0.5110785766573229,0.6077394571361547,0.6697303625377643,0.4939822496567968,0.5537803690314392,0.6733523962702949,0.8694066084793358,,,,,,,,MQTTEEB-D to IoT-23 external validation
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary_external,Logistic Regression,100,ok,0.5110250138370619,0.6078139363256925,0.6698151579038883,0.49395773867630394,0.553706475917577,0.673691439718316,0.8694082287121752,,,,,,,,MQTTEEB-D to IoT-23 external validation
