dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features
MQTTEEB-D,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.8247768525729348,0.6149306447992031,0.7554436891265031,0.6377178143824537,0.8569644186275537,0.7964264672157182,0.969044683190608,3.3826106999913463,0.00813250464281737,155796,33385,33386,2,"[""tcp_flags"", ""tcp_len""]"
MQTTEEB-D,strict_encrypted_flow_metadata,binary,Extra Trees,42,ok,0.8150422332714311,0.6093009100759857,0.7520687087806377,0.6289666973617776,0.8502614534717315,0.796828710315438,0.9692219699248348,1.0283594999928027,0.0082898670103082,155796,33385,33386,2,"[""tcp_flags"", ""tcp_len""]"
MQTTEEB-D,strict_encrypted_flow_metadata,binary,HistGradientBoosting,42,ok,0.8325046426645899,0.6198667278834532,0.7582500081974531,0.6449887037675468,0.8622889498072376,0.809401492341406,0.9743084063092854,1.331156500003999,0.0024918648531440453,155796,33385,33386,2,"[""tcp_flags"", ""tcp_len""]"
MQTTEEB-D,strict_encrypted_flow_metadata,binary,MLP,42,ok,0.8712634038219613,0.6160037160924748,0.662999898963921,0.6331251864888439,0.8820645275168978,0.7719131872922487,0.9671004719232182,30.22030950000044,1.0600251682288578e-05,155796,33385,33386,2,"[""tcp_flags"", ""tcp_len""]"
MQTTEEB-D,strict_encrypted_flow_metadata,binary,Isolation Forest,42,ok,0.43449350026957406,0.5158783159456602,0.552612994978023,0.3676311979227833,0.5408104736585113,0.5520092229248987,0.9374181952731557,0.28237620000436436,0.0660087102377505,155796,33385,33386,2,"[""tcp_flags"", ""tcp_len""]"
MQTTEEB-D_flow_1s,full_feature_upper_bound,binary,Logistic Regression,42,ok,0.8289992119779354,0.7533188465131904,0.8658351332148124,0.7782668981377102,0.844126969482187,0.9125747788849392,0.9795253916655905,0.11282149999169633,0.0021872734482171878,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,full_feature_upper_bound,binary,Random Forest,42,ok,0.9074074074074074,0.837438394058373,0.8974815472141675,0.8620785821170428,0.9111770210569842,0.9291304879540174,0.9770578355024707,0.6169242000032682,0.03733329393371053,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,full_feature_upper_bound,binary,Extra Trees,42,ok,0.9058313632781718,0.8350834307033188,0.8965092574718243,0.8601070146213956,0.9097704008950547,0.9252509305985241,0.9757012279034143,0.2667924999987008,0.04160823482809804,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,full_feature_upper_bound,binary,HistGradientBoosting,42,ok,0.9125295508274232,0.8448062051628571,0.9038272032924439,0.8692676579477123,0.9159667971110168,0.9444425353516263,0.9839971833516727,0.7867143000039505,0.007814460204583222,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,full_feature_upper_bound,binary,MLP,42,ok,0.9030732860520094,0.8312514876927815,0.892418464610978,0.8561060018290164,0.907154581094835,0.9405796544833978,0.9849550865637178,1.6153340000018943,5.394011396302646e-05,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,full_feature_upper_bound,binary,Isolation Forest,42,ok,0.8947990543735225,0.8194594189877209,0.8881103720675914,0.8461683747189347,0.8998768198034689,0.9327684889182216,0.9816759627195437,0.22832120000384748,0.07449783293589608,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,broker_side_secure_mqtt_metadata,binary,Logistic Regression,42,ok,0.8289992119779354,0.7533188465131904,0.8658351332148124,0.7782668981377102,0.844126969482187,0.9125747788849392,0.9795253916655905,0.08561979999649338,0.0018822301006336515,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,broker_side_secure_mqtt_metadata,binary,Random Forest,42,ok,0.9074074074074074,0.837438394058373,0.8974815472141675,0.8620785821170428,0.9111770210569842,0.9291304879540174,0.9770578355024707,0.5769390000059502,0.03564787233437149,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,broker_side_secure_mqtt_metadata,binary,Extra Trees,42,ok,0.9058313632781718,0.8350834307033188,0.8965092574718243,0.8601070146213956,0.9097704008950547,0.9252509305985241,0.9757012279034143,0.24548359999607783,0.03793388495376404,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.9125295508274232,0.8448062051628571,0.9038272032924439,0.8692676579477123,0.9159667971110168,0.9444425353516263,0.9839971833516727,0.6545116000052076,0.008345744678078379,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,broker_side_secure_mqtt_metadata,binary,MLP,42,ok,0.9030732860520094,0.8312514876927815,0.892418464610978,0.8561060018290164,0.907154581094835,0.9405796544833978,0.9849550865637178,1.953418100005365,6.516942215152818e-05,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,broker_side_secure_mqtt_metadata,binary,Isolation Forest,42,ok,0.8947990543735225,0.8194594189877209,0.8881103720675914,0.8461683747189347,0.8998768198034689,0.9327684889182216,0.9816759627195437,0.2327149000047939,0.079683806144297,11840,2537,2538,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary,Logistic Regression,42,ok,0.8289992119779354,0.7533188465131904,0.8658351332148124,0.7782668981377102,0.844126969482187,0.9125747788849392,0.9795253916655905,0.09155830000236165,0.0019667454684407126,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.9081954294720253,0.8384297718758775,0.8995605492931696,0.8634360490827865,0.9119844203790288,0.9306278343711498,0.9778183585915363,0.6598666999925626,0.03923991331948045,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary,Extra Trees,42,ok,0.9054373522458629,0.8342611385352006,0.8986554708479841,0.8601751758599254,0.9095748919154915,0.92508264968158,0.9756137858541439,0.2893426999944495,0.04072226162307614,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary,HistGradientBoosting,42,ok,0.9125295508274232,0.8448062051628571,0.9038272032924439,0.8692676579477123,0.9159667971110168,0.9444425353516263,0.9839971833516727,0.9443275000085123,0.006767375882930754,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary,MLP,42,ok,0.901103230890465,0.828198321197411,0.8935923882447947,0.8542488279399083,0.9055640044861746,0.9408864007794489,0.985153104004855,1.7226330999983475,4.653270748811587e-05,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_1s,strict_encrypted_flow_metadata,binary,Isolation Forest,42,ok,0.9026792750197006,0.8306730638123807,0.8921753921753921,0.8556175338444989,0.906804079111661,0.9329504142338368,0.9815418323449154,0.21376869999221526,0.08495098503130005,11840,2537,2538,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,full_feature_upper_bound,binary,Logistic Regression,42,ok,0.8793774319066148,0.880127186009539,0.8938426543258294,0.8784035409035409,0.8804360090838689,0.9060220409443878,0.9522122441006717,0.06710869999369606,0.004979280161749253,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,full_feature_upper_bound,binary,Random Forest,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9190073731273041,0.945714145373584,0.48615079998853616,0.10476643969551733,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,full_feature_upper_bound,binary,Extra Trees,42,ok,0.8910505836575876,0.888004367010872,0.9014197191936623,0.8896454422770212,0.8919711935276138,0.9190936544042668,0.9458721202255624,0.22289699999964796,0.0846998054521287,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,full_feature_upper_bound,binary,HistGradientBoosting,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.927798258686956,0.9605402696153202,1.0511501000000862,0.016611478593135217,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,full_feature_upper_bound,binary,MLP,42,ok,0.8842412451361867,0.8827234348673874,0.8964350145109421,0.8830208489718951,0.8852524305294571,0.9306063220644757,0.9594235219696023,0.4873026999994181,0.00016293775234534497,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,full_feature_upper_bound,binary,Isolation Forest,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.927559024237195,0.9485260624605538,0.21787960000801831,0.11928268481063627,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,broker_side_secure_mqtt_metadata,binary,Logistic Regression,42,ok,0.8793774319066148,0.880127186009539,0.8938426543258294,0.8784035409035409,0.8804360090838689,0.9060220409443878,0.9522122441006717,0.05823719999170862,0.004118579787026425,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,broker_side_secure_mqtt_metadata,binary,Random Forest,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9190073731273041,0.945714145373584,0.3952671000006376,0.0877902723698431,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,broker_side_secure_mqtt_metadata,binary,Extra Trees,42,ok,0.8910505836575876,0.888004367010872,0.9014197191936623,0.8896454422770212,0.8919711935276138,0.9190936544042668,0.9458721202255624,0.21559949999209493,0.0766566147827788,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.927798258686956,0.9605402696153202,1.0622044999909122,0.01769669262573652,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,broker_side_secure_mqtt_metadata,binary,MLP,42,ok,0.8842412451361867,0.8827234348673874,0.8964350145109421,0.8830208489718951,0.8852524305294571,0.9306063220644757,0.9594235219696023,0.481191899991245,0.0001372568211237382,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,broker_side_secure_mqtt_metadata,binary,Isolation Forest,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.927559024237195,0.9485260624605538,0.21486860000004526,0.11707782101113502,4794,1027,1028,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Logistic Regression,42,ok,0.8793774319066148,0.880127186009539,0.8938426543258294,0.8784035409035409,0.8804360090838689,0.9060220409443878,0.9522122441006717,0.053752499996335246,0.0041971789986205,4794,1027,1028,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.9191564044238765,0.945898507260104,0.43805719999363646,0.09227762646700893,4794,1027,1028,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Extra Trees,42,ok,0.892023346303502,0.8888570832780421,0.9022393913248098,0.8906063206131752,0.8929316961049935,0.9226978586555807,0.9536706332747847,0.2218323999986751,0.08014007781508581,4794,1027,1028,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,HistGradientBoosting,42,ok,0.8939688715953308,0.8903502282117532,0.9035022354694486,0.8924792470898907,0.894842948784473,0.927798258686956,0.9605402696153202,1.210142399999313,0.01705846303515861,4794,1027,1028,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,MLP,42,ok,0.8861867704280155,0.884669556821839,0.8984508588908934,0.8849868851236278,0.8871809611087939,0.9311083222213506,0.9613058213857343,0.5053964999970049,0.00016050584136838173,4794,1027,1028,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_5s,strict_encrypted_flow_metadata,binary,Isolation Forest,42,ok,0.892023346303502,0.8891030378835256,0.902615891442466,0.8906549605724257,0.892939569793005,0.9268609302690408,0.9482963401958612,0.20950620000076015,0.1203872568115813,4794,1027,1028,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,full_feature_upper_bound,binary,Logistic Regression,42,ok,0.8702490170380078,0.8848108192620388,0.8721835778013005,0.8693865905848788,0.8691779390236378,0.8733177075457432,0.9188169647853944,0.050050899997586384,0.005587549144884286,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
