dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features
MQTTEEB-D_flow_10s,full_feature_upper_bound,binary,Random Forest,42,ok,0.872870249017038,0.8875220308147138,0.8748058232407242,0.8720252453205377,0.8718208089423523,0.9050114787677165,0.932522245937254,0.3730742000043392,0.10350209699048347,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,full_feature_upper_bound,binary,Extra Trees,42,ok,0.8715596330275229,0.8865776968386307,0.8735204761970223,0.870677966101695,0.8704680454050693,0.9068467068996329,0.9342515425046591,0.2003134999977192,0.11186081259102508,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,full_feature_upper_bound,binary,HistGradientBoosting,42,ok,0.8702490170380078,0.8848108192620388,0.8721835778013005,0.8693865905848788,0.8691779390236378,0.9100841318064967,0.9351506953115232,1.2870346999989124,0.02431834862597389,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,full_feature_upper_bound,binary,MLP,42,ok,0.8768020969855832,0.8896005149170333,0.8786103130198095,0.8761106888689283,0.8759287393645454,0.8934433553744003,0.9117290500306011,0.16689810001116712,0.000190563547378589,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,full_feature_upper_bound,binary,Isolation Forest,42,ok,0.8715596330275229,0.8827441113037595,0.8732627194369218,0.8709368958851147,0.8707606495240556,0.8987497078756719,0.9106699494023487,0.2613079000002472,0.16885281783506656,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,broker_side_secure_mqtt_metadata,binary,Logistic Regression,42,ok,0.8702490170380078,0.8848108192620388,0.8721835778013005,0.8693865905848788,0.8691779390236378,0.8733177075457432,0.9188169647853944,0.056558900003437884,0.00592254260603734,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,broker_side_secure_mqtt_metadata,binary,Random Forest,42,ok,0.872870249017038,0.8875220308147138,0.8748058232407242,0.8720252453205377,0.8718208089423523,0.9050114787677165,0.932522245937254,0.4125293999968562,0.11367994757093913,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,broker_side_secure_mqtt_metadata,binary,Extra Trees,42,ok,0.8715596330275229,0.8865776968386307,0.8735204761970223,0.870677966101695,0.8704680454050693,0.9068467068996329,0.9342515425046591,0.21386859999620356,0.1123665792999977,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,broker_side_secure_mqtt_metadata,binary,HistGradientBoosting,42,ok,0.8702490170380078,0.8848108192620388,0.8721835778013005,0.8693865905848788,0.8691779390236378,0.9100841318064967,0.9351506953115232,1.4116803000069922,0.024563171687965592,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,broker_side_secure_mqtt_metadata,binary,MLP,42,ok,0.8768020969855832,0.8896005149170333,0.8786103130198095,0.8761106888689283,0.8759287393645454,0.8934433553744003,0.9117290500306011,0.16166909999446943,0.00021861075239956653,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,broker_side_secure_mqtt_metadata,binary,Isolation Forest,42,ok,0.8715596330275229,0.8827441113037595,0.8732627194369218,0.8709368958851147,0.8707606495240556,0.8987497078756719,0.9106699494023487,0.24164639999798965,0.16188610747238674,3556,762,763,15,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,binary,Logistic Regression,42,ok,0.8702490170380078,0.8848108192620388,0.8721835778013005,0.8693865905848788,0.8691779390236378,0.8733177075457432,0.9188169647853944,0.0458708999940427,0.005641546534303561,3556,762,763,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.8715596330275229,0.8857614483493077,0.8734689248450023,0.8707334107819544,0.8705302413773064,0.9050355360653257,0.9327149620897772,0.38361629999417346,0.24601127129953798,3556,762,763,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,binary,Extra Trees,42,ok,0.8715596330275229,0.8865776968386307,0.8735204761970223,0.870677966101695,0.8704680454050693,0.9066233177075457,0.9341635663353598,0.2168093000072986,0.11128505897024087,3556,762,763,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,binary,HistGradientBoosting,42,ok,0.8702490170380078,0.8848108192620388,0.8721835778013005,0.8693865905848788,0.8691779390236378,0.9100841318064967,0.9351506953115232,1.3274086000019452,0.026281651375396606,3556,762,763,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,binary,MLP,42,ok,0.8715596330275229,0.8857614483493077,0.8734689248450023,0.8707334107819544,0.8705302413773064,0.8979833111089727,0.9242715664356995,0.31559690000722185,0.00026605503104485545,3556,762,763,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,binary,Isolation Forest,42,ok,0.872870249017038,0.8844455417607224,0.8745996178326436,0.8722302689843644,0.8720524967530662,0.9003993511403159,0.9159688338437826,0.23725710000144318,0.15169921362995956,3556,762,763,14,"[""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]"
