dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features,note
IoT-23,strict_encrypted_flow_metadata,multiclass,Logistic Regression,42,ok,0.6886241810601549,0.8006972482778808,0.7094804469273743,0.7004478739964471,0.6789808536394321,,,6.5437037000083365,0.005261548540689175,39173,8394,8395,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",exploratory; classes with <50 samples excluded from main multiclass run
IoT-23,strict_encrypted_flow_metadata,multiclass,Random Forest,42,ok,0.7471113758189398,0.8275783496174706,0.7640360024829299,0.7751770295753198,0.759055300039489,,,1.1953003000089666,0.024900309706620976,39173,8394,8395,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",exploratory; classes with <50 samples excluded from main multiclass run
IoT-23,strict_encrypted_flow_metadata,multiclass,Extra Trees,42,ok,0.8004764740917213,0.9082827727248707,0.8138137802607077,0.8173284317314106,0.8042041766927492,,,0.550197799995658,0.0225342703983049,39173,8394,8395,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",exploratory; classes with <50 samples excluded from main multiclass run
IoT-23,strict_encrypted_flow_metadata,multiclass,HistGradientBoosting,42,ok,0.7971411554496725,0.9072423413520126,0.8107026691495965,0.8137216839057738,0.800417933947227,,,8.677946099996916,0.01701256700386773,39173,8394,8395,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",exploratory; classes with <50 samples excluded from main multiclass run
IoT-23,strict_encrypted_flow_metadata,multiclass,MLP,42,ok,0.6887432995830852,0.8008832290419791,0.7095915580384854,0.7006014633089269,0.6791053183363874,,,7.910831799992593,0.0001830494360933929,39173,8394,8395,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]",exploratory; classes with <50 samples excluded from main multiclass run
