dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Isolation Forest,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.49478823458934884,0.5200867404212466,0.5688537792629325,0.40352811253943976,0.6000249432155516,0.6541712048952424,0.9505378390302012,0.2173631000041496,4.922382136224483e-05
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Logistic Regression,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.84089139160127,0.6000607561106102,0.7081369941383424,0.6215817819936902,0.8681929183874827,0.6994410127772134,0.9658291953947282,2.060404900010326,1.5208919904431495e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Random Forest,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.8258251961900198,0.5965993138451847,0.7211325290288129,0.6154743646820029,0.8589371583684373,0.7122276886863265,0.9522672449505521,2.2955872000020463,3.240684718042284e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Extra Trees,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.8171988258551489,0.5972354957058247,0.735486419606236,0.614572509123007,0.8538033155924007,0.7183977523603785,0.9525410854947923,1.380038200004492,4.448999580510851e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,HistGradientBoostingClassifier,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.8396034265859942,0.6054989450387385,0.7272124072604003,0.6285026394974256,0.8682316693774784,0.850741521242053,0.9839642831256451,3.113315499998862,2.83699454879656e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,Isolation Forest,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.472713113281016,0.5033970806032351,0.5126491781990068,0.37686122542039413,0.5860751367581499,0.6078094065491649,0.9549108241192765,0.24321620000409894,4.82141616244365e-05
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,binary,MLP,all,,,,9,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Logistic Regression,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.505870724255676,0.5436298730965059,0.37635161166521064,0.3821119572341114,0.49889527160572733,,,27.438886999996612,1.6354100521654896e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Random Forest,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.5223147427065237,0.6100720993854495,0.613028084829534,0.5595081573001749,0.5375830476955593,,,2.515439000009792,4.002498053253901e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Extra Trees,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.5179116995147667,0.6028223987488978,0.6120022252191133,0.5570358357608384,0.5336467834653735,,,1.6405140999995638,4.045944407575086e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,9,42,ok,0.5188402324327562,0.5905139184162775,0.6103444108693044,0.552398825368217,0.53242825250581,,,20.188932300006854,9.60669741809866e-06
