dataset,view,task,model,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,train_time_seconds,inference_time_per_sample_ms,n_train,n_val,n_test,n_features,features
IoT-23,strict_encrypted_flow_metadata,binary,Logistic Regression,42,ok,0.9842894548916925,0.989437488001377,0.9570435622524871,0.972312804416754,0.9840207063106406,0.9749250458804211,0.9919591505505356,0.9472708999965107,0.005314627470635609,39206,8401,8402,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]"
IoT-23,strict_encrypted_flow_metadata,binary,Random Forest,42,ok,0.9848845512973101,0.9909659980082515,0.9576666666666667,0.9733394883434624,0.9846193635608048,0.975617791944364,0.991252451895055,1.2266654999984894,0.021198369435624833,39206,8401,8402,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]"
IoT-23,strict_encrypted_flow_metadata,binary,Extra Trees,42,ok,0.9847655320161867,0.9906008115593355,0.9575942238964552,0.9731369842552058,0.9845004819044133,0.9828487394957983,0.9934361363432102,0.5437845999986166,0.021450416567461366,39206,8401,8402,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]"
IoT-23,strict_encrypted_flow_metadata,binary,HistGradientBoosting,42,ok,0.9848845512973101,0.9909659980082515,0.9576666666666667,0.9733394883434624,0.9846193635608048,0.9822913165266106,0.9936224939195867,2.7695479999965755,0.008278600334240155,39206,8401,8402,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]"
IoT-23,strict_encrypted_flow_metadata,binary,MLP,42,ok,0.984408474172816,0.989801363571678,0.9571160050226988,0.9725149718916117,0.9841394877814372,0.9715248237225924,0.9896137128497978,3.8302108000061708,0.00015921209230744125,39206,8401,8402,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]"
IoT-23,strict_encrypted_flow_metadata,binary,Isolation Forest,42,ok,0.47774339442989766,0.57546779667372,0.6182029363469526,0.4604548631300651,0.5225510373865114,0.8088829807785183,0.9274340033005615,0.5904290000034962,0.14051266365131282,39206,8401,8402,28,"[""duration"", ""orig_bytes"", ""resp_bytes"", ""orig_pkts"", ""resp_pkts"", ""orig_ip_bytes"", ""resp_ip_bytes"", ""missed_bytes"", ""proto"", ""service"", ""conn_state"", ""history_len"", ""history_count_D"", ""history_count_d"", ""history_count_S"", ""history_count_h"", ""history_count_H"", ""history_count_A"", ""history_count_F"", ""history_count_R"", ""history_count_r"", ""history_count_caret"", ""history_count_I"", ""history_count_Q"", ""total_bytes"", ""total_pkts"", ""bytes_per_second"", ""packets_per_second""]"
