stability_target,model,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,pr_auc_mean,pr_auc_std,n_runs
MQTT-IoT-IDS2020 strict -> MQTTEEB-D strict 5s,Extra Trees,0.7463613810762622,0.031010534342596173,0.7437164514205845,0.03270941184641748,0.9089206912936497,0.007000900251135231,5
MQTT-IoT-IDS2020 strict binary,Random Forest,0.9993018209838438,0.00013051493991813096,0.99944481658817,0.00010377750245500536,0.9998629065682921,0.00011475288051112765,5
MQTTEEB-D strict 5s -> MQTT-IoT-IDS2020 strict,HistGradientBoostingClassifier,0.19943544408111952,0.05362996476383632,0.13443091789585665,0.03515726853799767,0.5337475283979397,0.04101755543455682,5
MQTTEEB-D strict 5s binary,HistGradientBoostingClassifier,0.8861557908561357,0.005115472756690908,0.8883280356472367,0.005234211541251409,0.9587234250259626,0.002644793286787786,5
